source_file,filer_ein,filer_organization_name,tax_period_begin,tax_period_end,formation_year,foundation_address_line1,foundation_address_line2,foundation_city,foundation_state,foundation_zip,foundation_phone,foundation_website,legal_domicile_state,total_assets_boy,total_assets_eoy,total_liabilities_eoy,net_assets_eoy,fair_market_value_eoy,total_revenue,total_expenses,investment_income,distributable_amount,total_distributions,undistributed_income,is_private_operating_foundation,is_501c3,mission_description
202403559349101100_public.xml,136036787,JOHN ROACH TRUST FUND XXXXX4003,2023-09-01,2024-08-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,9041365,8486242,0,,11472792,,,,,476013,,false,,
202403559349101105_public.xml,866242447,GOLDBERG BEN MEM TRUST-CA,2023-09-01,2024-08-31,,2751 CENTERVILLE RD STE 400,,WILMINGTON,DE,19808,6892065200,,,2216498,2085296,0,,2526251,,,,,104826,,false,,
202403559349101200_public.xml,166016246,MARCELLA MAY TRUST XXX-XX-XXXX FBO DIOCESE OF,2023-09-01,2024-08-31,,10 S DEARBORN IL1-0111,,CHICAGO,IL,60603,7327679100,,,147880,146619,0,,202469,,,,,8151,,false,,
202403569349100000_public.xml,824387318,CREATIVE CENTER FOR TRANSITION AND INCLUSION SUPPOR INC,2022-01-01,2022-12-31,,134 Evergreen Place Suite 600,,EAST ORANGE,NJ,07018,,,,0,0,0,,0,,,,,0,,false,,
202403569349100100_public.xml,872471924,Kingdom First Ministries Corp,2022-01-01,2022-12-31,,3308 Coleman Place,,Orlando,FL,32805,4048626827,,,0,0,0,,0,,,,,35967,,false,,
202403569349100200_public.xml,872471924,Kingdom First Ministries Corp,2023-01-01,2023-12-31,,3308 Coleman Place,,Orlando,FL,32805,4048626827,,,0,0,0,,0,,,,,38466,,false,,
202403569349100300_public.xml,883206183,Aspo Inc,2023-01-01,2023-12-31,,1657 THE FAIRWAY 1090,,Jenkintown,PA,19046,,,,1117,2969,0,,0,,,,,0,,false,,
202403569349100400_public.xml,651158071,EREM FOUNDATION INC,2022-12-01,2023-11-30,,2480 NW 41st,,Boca Raton,FL,334318419,9542240167,,,3817,0,0,,0,,,,,0,,false,,
202403569349100500_public.xml,311603833,THELMA GOLDING FOUNDATION,2023-11-01,2024-10-31,,811 SW NAITO PARKWAY 200,,PORTLAND,OR,97204,5036397726,,,121729,114965,0,,151215,,,,,9853,,false,,
202403569349100600_public.xml,931575877,THE HENRY MAUNAKEA CENTER FOR DISCERNMENT AND CHURCH DEVELOPMENT,2023-04-05,2023-12-31,,155 KAPALULU PL,,HONOLULU,HI,96819,8082949662,,,0,5142,406,,5142,,,,,,,false,,
202403579349100000_public.xml,920975270,Little Pearl,2023-07-01,2024-06-30,,401 Ryland St STE 200A,,Reno,NV,89502,,,,656,1499,0,,1499,,,,,142,,false,,
202403579349100050_public.xml,311665414,CORNERSTONE FOUNDATION OF CLINTON,2023-09-01,2024-08-31,,48 N SOUTH STREET,,WILMINGTON,OH,45177,9373825549,,,461998,452869,0,,39025,,,,,40563,,false,,
202403579349100100_public.xml,844574226,Howard Firefighters Association,2023-01-01,2023-12-31,,4052 CTH B,,Colfax,WI,54730,,,,,0,0,,0,,,,,,,false,,
202403579349100150_public.xml,113294488,THE CHARLES & ELLEN COGUT FAMILY FOUNDATION,2023-01-01,2023-12-31,,PO BOX 157,,SOUTH KENT,CT,06785,2122719961,,,1524252,1469792,0,,2112928,,,,,136718,,false,,
202403579349100200_public.xml,272659553,ME8 FOUNDATION,2023-01-01,2023-12-31,,9301 WILSHIRE BLVD SUITE 504,,BEVERLY HILLS,CA,90210,3102753644,,,7983,0,0,,0,,,,,0,,false,,
202403589349100000_public.xml,871969646,HEARTDWELLERS GHANA INC,2023-08-01,2024-07-31,,PO Box 4050,,TRENTON,NJ,08610,,,,1446,3208,0,,0,,,,,108893,,false,,
202403589349100005_public.xml,656418965,HAROLD & JOAN FEINBLOOM FAMILY,2023-10-01,2024-09-30,,1150-A PITTSFORD-VICTOR ROAD,,PITTSFORD,NY,14534,5854544161,,,3522344,3680906,0,,4451826,,,,,205805,,0,,
202403589349100010_public.xml,046477185,MEYER HAROLD F TR UAGREE,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,1633191,1661638,0,,1919194,,,,,106257,,false,,
202403589349100100_public.xml,850605233,GOLDEN SERVICES FOUNDATION INC,2023-01-01,2023-12-31,,PO BOX 212,,GROVELAND,FL,347360212,,,,0,0,0,,0,,,,,0,,false,,
202403589349100105_public.xml,311113562,THE HARDING-BULLER FOUNDATION,2023-01-01,2023-12-31,,430 E DUBLIN GRANVILLE RD,,WORTHINGTON,OH,43085,6144757560,,,1689154,3005824,48843,,5369685,,,,,158305,,true,,
202403589349100110_public.xml,046092311,CASTOR THEODORE H TR UWILL,2023-09-01,2024-08-31,,BNY MELLON NA - PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,872049,854256,0,,914262,,,,,52490,,false,,
202403589349100115_public.xml,046093899,LOVELEY GEORGE J-TR,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,950214,982112,0,,1053683,,,,,7666,,false,,
202403589349100120_public.xml,046091626,ROBINSON JOHN C TR UIND,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,49795,50471,0,,56394,,,,,1389,,false,,
202403589349100150_public.xml,452590105,Marriott Daughters Foundation,2023-09-01,2024-08-31,,7700 Old Georgetown Road Suite 800,,BETHESDA,MD,20814,7038930600,,,77322204,78041341,0,,117458599,,,,,5873257,,false,,
202403589349100200_public.xml,306282543,BERRY CHARITABLE FOUNDATION,2023-01-01,2023-12-31,,1101 NORWALK STREET,,GREENSBORO,NC,27407,3364822444,,,71829150,72207031,0,,90933824,,,,,5070679,,0,,
202403589349100205_public.xml,136081724,THE LIGHTHOUSE,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,279241,269619,0,,299941,,,,,13663,,false,,
202403589349100210_public.xml,872636326,THE GREENE FOUNDATION INC,2023-01-01,2023-12-31,,C/O BOTWINICK 365 W PASSAIC ST 310,,ROCHELLE PARK,NJ,07662,2019090090,,,,6465801,10423,,6467635,,,,,87740,,false,,
202403589349100300_public.xml,356066023,Regenstrief Foundation Inc,2023-07-01,2024-06-30,,9292 N MERIDIAN SUITE 202,,INDIANAPOLIS,IN,46260,3173834000,,,140105397,139388588,3144653,,182349778,,,,,8008928,,false,,
202403589349100305_public.xml,134055747,THE ENFRANCHISEMENT FOUNDATION,2023-04-01,2024-03-31,,3205 R STREET NW,,WASHINGTON,DC,200072941,6179333600,,,16920891,16227661,0,,19626556,,,,,944071,,0,,
202403589349100310_public.xml,042648729,SWEATT WILLIAM H TR UWILL,2023-09-01,2024-08-31,,BNY MELLON NA - PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,1397800,1392284,0,,1492956,,,,,66041,,false,,
202403589349100350_public.xml,934174535,Project 61 Ministries Inc,2023-07-01,2024-06-30,,1308 St Hwy 121,,Sullivan,IL,61951,2175432007,,,0,1030130,638145,,0,,,,,,,,,
202403589349100355_public.xml,426297940,JOHN H WITTE JR FOUNDATION TRUST,2023-09-01,2024-08-31,,PO BOX 0634,,MILWAUKEE,WI,532010634,4123556000,,,8182795,8172034,0,,9819556,,,,,387885,,false,,
202403589349100360_public.xml,932879505,THE ADOPTABLE DOG,2023-01-01,2023-12-31,,106 WARWICK DRIVE,,LONG BEACH,MS,39560,2288964504,,,0,5223,0,,5223,,,,,,,true,,
202403589349100365_public.xml,046091865,ELY CHARLES C TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,3359337,3307077,0,,3767524,,,,,190569,,false,,
202403589349100370_public.xml,586131618,HILL NELLIE MOREL TUW,2023-09-01,2024-08-31,,PO BOX 505 MAC H0006-092,,SAINT LOUIS,MO,63166,4123556000,,,753569,660258,0,,3389788,,,,,85895,,false,,
202403589349100400_public.xml,133639555,TARGUM SHLISHI INC,2023-10-01,2024-09-30,,3029 NE 188TH STREET STE 1114,,AVENTURA,FL,33180,5167472000,,,2137194,1622678,1580,,1843174,,,,,140877,,0,,
202403589349100405_public.xml,932336603,MIAMI VALLEY LEGENDS INC,2023-08-01,2024-07-31,,PO BOX 1857,,PIQUA,OH,45356,9373290897,,,600,6206,0,,0,,,,,,,,,
202403589349100410_public.xml,046093086,NICKERSON JOSEPH TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,216095,213599,0,,228021,,,,,11662,,false,,
202403589349100500_public.xml,911236204,ANKER L AND LILLIAN MUIR CHRISTY FOUNDATION,2023-09-01,2024-08-31,,PO BOX 0634,,MILWAUKEE,WI,532010634,4123556000,,,1634201,1604330,0,,1990420,,,,,91666,,false,,
202403589349100505_public.xml,486106874,KANSAS PHILANTHROPIES INC,2023-01-01,2023-12-31,,2808 RIVERBIRCH RD,,HUTCHINSON,KS,675029281,7709202890,,,289711,256025,45,,261261,,,,,12000,,false,,
202403589349100550_public.xml,416479193,FORSYTH FAM SCHOLARSHIP,2023-09-01,2024-08-31,,PO BOX 0634,,MILWAUKEE,WI,532010634,4123556000,,,628113,608119,0,,628282,,,,,32025,,false,,
202403589349100555_public.xml,462136523,PROVOST SQUARE PERFORMING ARTS,2023-03-01,2024-02-29,,CO TOLL BROTHERS 155 BAY STREET,,JERSEY CITY,NJ,07302,2152591000,,,1254328,1275023,0,,1274148,,,,,794670,,0,,
202403589349100560_public.xml,386794787,GLENN AND ELIZABETH SARGENT ENDOWMENT FD,2023-09-01,2024-08-31,,PO BOX 1558 DEPT EA5W86,,COLUMBUS,OH,43216,4123556000,,,2539182,2506582,0,,2739275,,,,,130153,,false,,
202403589349100565_public.xml,016007198,RAY G MARSTON TRUST UW FBO PINE TREE SOCIETY,2023-09-01,2024-08-31,,4900 TIEDEMAN ROAD OH-01-49-0381,,BROOKLYN,OH,44144,4123556000,,,588122,569861,0,,840461,,,,,42079,,false,,
202403589349100600_public.xml,046092861,HOYT FRANKLIN S & MABEL A TR UDEED,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,268673,269110,0,,287932,,,,,10768,,false,,
202403589349100605_public.xml,026006309,PAUL ISABEL FBO NEWFIELDS LIBRARY-TR,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,260956,257729,0,,419100,,,,,16853,,false,,
202403589349100610_public.xml,386571896,STELLA & FREDERICK LOEB CHARITABLE TRUST,2023-09-01,2024-08-31,,PO BOX 1558 DEPT EA5W86,,COLUMBUS,OH,43216,4123556000,,,4544155,4495898,0,,6835215,,,,,331185,,false,,
202403589349100615_public.xml,046091454,GREENLEAF CHARLES H TR UIND,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,118442,113388,0,,135021,,,,,6958,,false,,
202403589349100620_public.xml,046091829,WHITIN ARTHUR FLETCHER TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,505431,494904,0,,531458,,,,,30088,,false,,
202403589349100650_public.xml,136081600,NEW YORK CITY MISSION SOCIETY NO 2,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,450588,459065,0,,520147,,,,,23338,,false,,
202403589349100655_public.xml,046479449,SIMMONS ALCID-TR-A & M PERPETUAL TR,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,570152,571080,0,,610319,,,,,22903,,false,,
202403589349100700_public.xml,042790229,HUNT FRANCES E TRW CODICIL FUND,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,710883,748935,0,,735437,,,,,7002,,false,,
202403589349100705_public.xml,046093555,LEIGHTON EDWARD K TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,4014483,3959546,0,,4425812,,,,,210431,,false,,
202403589349100750_public.xml,136332693,NEW YORK LUNG ASSOCIATION,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,453589,431349,0,,479620,,,,,24929,,false,,
202403589349100755_public.xml,046092271,COX CHARLES M TR UDEED,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,426392,419494,0,,448918,,,,,23784,,false,,
202403589349100760_public.xml,046093514,WARREN FRANCES KNOWLES TR UAGREE,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,653465,808344,0,,838612,,,,,37088,,false,,
202403589349100800_public.xml,136370889,BROOKHAVEN MEMORIAL HOSPITAL ASSOC,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,3003630,3374014,0,,4039978,,,,,207840,,false,,
202403589349100805_public.xml,136080631,AMERICAN WALDENSIAN AID SOCIETY NO 2,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,1284259,1228896,0,,1365726,,,,,66332,,false,,
202403589349100810_public.xml,274075523,THE PILLARS TRUST,2022-11-01,2023-10-31,,co David Soifer 24 Jackson Ave,,SPRING VALLEY,NY,10977,8453547293,,,1088751,995384,0,,995384,,,,,167665,,0,,
202403589349100850_public.xml,136136805,SHELTERING ARMS CHLDRNS SERV-E GOULD FD,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,312724,305719,0,,340642,,,,,11715,,false,,
202403589349100900_public.xml,136081601,NEW YORK CITY MISSION SOCIETY NO 3,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,5304140,5521464,0,,6282364,,,,,277558,,false,,
202403589349100905_public.xml,832596644,In My Neighbors Shoes Inc,2023-01-01,2023-12-31,,138 Golden Leaf Lane,,Mount Airy,NC,27030,3367864413,,,10307,8084,0,,8084,,,,,8880,,false,,
202403589349100950_public.xml,046237788,PRINCE LUCINDA WYMAN TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,3166949,3139436,0,,3348350,,,,,165660,,false,,
202403589349100955_public.xml,016061508,RUTH I TURNER TRUST,2023-09-01,2024-08-31,,4900 TIEDEMAN ROAD OH-01-49-0381,,BROOKLYN,OH,44144,4123556000,,,752209,763189,0,,752833,,,,,32221,,false,,
202403589349101000_public.xml,046423442,TOMPKINS EDNA H TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,1330490,1309701,0,,1403087,,,,,77700,,false,,
202403589349101005_public.xml,237152377,WILLIAM BRADSTREET TR - CHILDREN'S FUND,2023-09-01,2024-08-31,,4900 TIEDEMAN ROAD OH-01-49-0381,,BROOKLYN,OH,44144,4123556000,,,25606,24436,0,,23703,,,,,2850,,false,,
202403589349101010_public.xml,237848281,THE LEIGH AND EDWIN SCHADT VIOLIN SC,2023-09-01,2024-08-31,,PO BOX 505 MAC H0006-092,,SAINT LOUIS,MO,63166,4123556000,,,4120877,3906567,0,,6033977,,,,,261294,,false,,
202403589349101050_public.xml,386040385,CLARK L RING MEMORIAL FUND,2023-09-01,2024-08-31,,PO BOX 1558 DEPT EA5W86,,COLUMBUS,OH,43216,4123556000,,,123500,106749,0,,207639,,,,,14574,,false,,
202403589349101055_public.xml,346542089,BEINKE GEORGE C SCHOLARSHIP PFDN,2023-09-01,2024-08-31,,4900 TIEDEMAN ROAD OH-01-49-0381,,BROOKLYN,OH,44144,4123556000,,,554952,579922,0,,571450,,,,,10467,,false,,
202403589349101100_public.xml,046200325,WEST GRACE M TR UWILL,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,77361,76153,0,,81404,,,,,5769,,false,,
202403589349101150_public.xml,133653176,COMMUNITY SERVICE SOCIETY OF N Y NO 3,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,386583,371364,0,,414190,,,,,19161,,false,,
202403589349101155_public.xml,016056431,JOHN C ENK CHAR RESIDUAL TRUST,2023-09-01,2024-08-31,,4900 TIEDEMAN ROAD OH-01-49-0381,,BROOKLYN,OH,44144,4123556000,,,1708444,1676004,0,,1906631,,,,,81616,,false,,
202403589349101200_public.xml,256372657,FEAGLEY F FOR CHARITIES-CHAR TR,2023-09-01,2024-08-31,,PO BOX 185,,PITTSBURGH,PA,152300185,4123556000,,,2868450,2830705,0,,3271977,,,,,141933,,false,,
202403589349101205_public.xml,016079292,TRACY MONA FBO YMCA PFDN,2023-09-01,2024-08-31,,4900 TIEDEMAN ROAD OH-01-49-0381,,BROOKLYN,OH,44144,4123556000,,,93101,99086,0,,96063,,,,,796,,false,,
202403599349100000_public.xml,270807992,CHARISTAR FOUNDATION,2023-08-01,2024-07-31,,851 VIDA LARGA LOOP,,MILPITAS,CA,950358667,,,,1148921,1192508,15473,,1192508,,,,,63895,,false,,
202403599349100005_public.xml,922192291,HAWAII IN-LINE HOCKEY INC,2023-01-01,2023-12-31,,95-203 AUA PL,,MILILANI,HI,96789,,,,,19282,19282,,0,,,,,,,false,,
202403599349100100_public.xml,863853631,Redhawk Foundation,2023-01-01,2023-12-31,,37 Woodland Street,,Natick,MA,01760,,,,26024,53309,0,,53309,,,,,15788,,false,,
202403599349100105_public.xml,466634504,AURORA R KITTREDGE CHARITABLE TRUST,2023-01-01,2023-12-31,,PO BOX 1558 DEPT EA5W86,,COLUMBUS,OH,43216,4123556000,,,1458921,1436864,0,,2127589,,,,,171846,,false,,
202403599349100110_public.xml,475420884,HALBROOKS FAMILY FOUNDATION,2023-01-01,2023-12-31,,1025 BLUE HERON PT,,BIRMINGHAM,AL,35242,2059794100,,,413540,176450,0,,420001,,,,,147000,,0,,
202403599349100200_public.xml,934957951,Citizens for Altavista Baseball,2023-11-10,2023-12-31,,2685 Patmos Church Rd,,Huddleston,VA,24104,,,,0,24794,0,,24794,,,,,7472,,false,,
202403599349100300_public.xml,320748048,ST LOUIS RUGBY ACADEMY,2023-07-01,2024-06-30,,7033 WESTMORELAND DRIVE,,SAINT LOUIS,MO,631304422,,,,0,2329,0,,2329,,,,,24154,,false,,
202403599349100305_public.xml,134161117,LUI AND WAN FOUNDATION,2023-03-01,2024-02-29,,343 E 30TH STREET 11L,,NEW YORK,NY,10016,2124318478,,,8609041,8274459,42300,,10148628,,,,,570000,,false,,
202403599349100400_public.xml,463842043,YOUTANHUA FOUNDATION,2023-09-01,2024-08-31,,4210 BAYWATER PARK LN,,SUGAR LAND,TX,774794743,,,,61665,52716,0,,52716,,,,,7250,,true,,
202403599349100500_public.xml,920310738,CONATUS FOUNDATION,2023-01-01,2023-12-31,,67 GODEN STREET,,BELMONT,MA,02478,5163643390,,,1965088,1929641,0,,4767564,,,,,35857,,0,,
202403599349100505_public.xml,134076347,GREATER NEW YORK CHINATOWN SOCIAL,2022-07-01,2023-06-30,,137 HENRY STREET,,NEW YORK,NY,10002,8456383113,,,26031,0,0,,0,,,,,25634,,false,,
